epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24647.7,1.01672,0.52833,0.00261,0.95128,0.90939,0.9519,0.78075,0.79564,0.33006,0.00208,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,25404,1.01301,0.521,0.00258,0.95165,0.90919,0.95226,0.78144,0.79377,0.3288,0.00207,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26167.1,1.00519,0.51581,0.00255,0.95188,0.90933,0.95236,0.78226,0.79278,0.32795,0.00206,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26928.8,1.00192,0.51557,0.00254,0.95252,0.90956,0.95263,0.78303,0.79119,0.32757,0.00206,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,27687.5,0.99127,0.50477,0.00251,0.95188,0.90988,0.95298,0.78367,0.78981,0.32719,0.00205,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,28451.1,0.98326,0.49743,0.00248,0.95047,0.91046,0.95292,0.7845,0.78806,0.32688,0.00204,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,29220.2,0.97701,0.49079,0.00245,0.95312,0.90992,0.9531,0.78507,0.78633,0.32571,0.00204,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29981.5,0.96922,0.48274,0.00243,0.95327,0.91049,0.95338,0.78566,0.78455,0.3252,0.00203,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,30737.6,0.96711,0.48287,0.0024,0.95181,0.91201,0.95379,0.78669,0.78227,0.32441,0.00202,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,31513.5,0.87331,0.38865,0.0021,0.95415,0.91121,0.95413,0.78739,0.78039,0.32306,0.00201,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,32271.7,0.86299,0.38401,0.00205,0.95411,0.9116,0.95447,0.78809,0.7777,0.3224,0.00201,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,33025.5,0.85401,0.37694,0.00202,0.95534,0.91208,0.95486,0.78902,0.77543,0.32023,0.002,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,33791.3,0.84625,0.37082,0.00199,0.95782,0.91242,0.95538,0.78994,0.77313,0.31838,0.00199,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,34555.8,0.83802,0.36213,0.00195,0.95547,0.91464,0.95559,0.79102,0.7706,0.31758,0.00198,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,35310.1,0.83287,0.35812,0.00192,0.95635,0.91498,0.95594,0.7919,0.76808,0.31584,0.00198,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,36065.9,0.82523,0.35506,0.0019,0.95721,0.91454,0.95625,0.7925,0.76739,0.3143,0.00197,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,36821.3,0.81918,0.34671,0.00188,0.95956,0.91419,0.9567,0.79356,0.76538,0.31293,0.00196,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,37580,0.81346,0.3429,0.00184,0.95779,0.91659,0.9569,0.7944,0.7639,0.31148,0.00196,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,38340.7,0.80869,0.34012,0.00182,0.95961,0.91592,0.95734,0.79519,0.76223,0.31122,0.00195,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
